Student_Roll_no,Name,Gender,DOB,Father's_Name,Mother's_Name,School_code,English,English_Grade,Mathematics,Mathematics_Grade,Social_Science,Social_Science_Grade,Hindi,Hindi_Grade,Science,Science_Grade
31,Jeanne Perez,Female,02-11-2009,Christopher Day,Rebecca Burgess,5010,59,C1,58,C1,23,E1,28,E1,74,B1
32,Victor Hamilton,Female,13-03-2008,Daniel Olsen,Lori Mitchell,5010,35,D,93,A1,89,A2,84,A2,17,E2
33,Christopher Harris DVM,Male,25-11-2009,Samuel Cole,Nancy Rose,5010,83,A2,31,D,50,C2,47,C2,69,B2
34,Mark Carter,Female,09-08-2009,Devon Medina,Jennifer Martin,5010,87,A2,23,E1,54,C1,57,C1,13,E2
35,Mary Mathis,Female,29-09-2008,Michael Solis,Jessica Cortez,5010,78,B1,89,A2,57,C1,23,E1,15,E2
36,Mary Harmon,Female,05-02-2009,Robert Jacobson,Christie Gallagher,5010,60,C1,20,E2,87,A2,71,B1,70,B2
37,Mrs. Ashley Molina,Female,23-06-2009,Antonio Smith,Janet Jones,5010,13,E2,68,B2,20,E2,53,C1,33,D
38,Meghan Wright,Female,02-07-2009,Randy Becker,Maria Watson,5010,89,A2,74,B1,41,C2,15,E2,28,E1
39,Gina Baker,Male,19-03-2008,Jose Huynh,Karina Brown,5010,68,B2,77,B1,48,C2,52,C1,41,C2
40,Chelsea Carey,Male,04-11-2008,Jason Sosa,Christina Ramirez,5010,93,A1,63,B2,75,B1,86,A2,11,E2
41,Jacqueline Underwood,Male,06-03-2008,Thomas Maldonado,Katrina Price,5010,62,B2,87,A2,92,A1,96,A1,88,A2
42,Daniel Johnson,Male,26-04-2008,Jason Martin,Cynthia Sullivan,5010,55,C1,32,D,61,B2,86,A2,53,C1
43,Christopher Benitez,Male,23-02-2008,Gregory Day,Elizabeth Robinson,5010,22,E1,31,D,21,E1,75,B1,64,B2
44,Brian White,Female,05-01-2009,Ronnie Herring,Nancy Edwards,5010,56,C1,62,B2,10,E2,89,A2,63,B2
45,Aaron Meyer,Female,27-10-2009,Brandon Johnson,Wendy Baker,5010,17,E2,74,B1,59,C1,88,A2,54,C1
46,Ryan Dean,Female,06-08-2008,Steven Aguilar,Jessica Arellano,5010,92,A1,80,B1,40,D,91,A1,33,D
47,Kevin Torres,Female,21-05-2009,Timothy Graham,Nicole Moore,5010,31,D,57,C1,81,A2,76,B1,89,A2
48,Jody Moore,Male,16-02-2008,Richard Lewis,Sarah Medina,5010,75,B1,27,E1,90,A2,50,C2,51,C1
49,Stephanie Johnson,Female,26-07-2009,Jacob Stephens,Heather Sandoval,5010,41,C2,83,A2,83,A2,41,C2,27,E1
50,Meghan Baker,Female,04-05-2009,Jesse Smith,Monique Scott,5010,89,A2,34,D,36,D,18,E2,20,E2
51,Jim Vargas,Female,24-06-2008,Mark Nielsen,Megan Green,5010,43,C2,44,C2,39,D,20,E2,68,B2
52,Brett Fisher,Male,23-08-2009,William Rivas,Sabrina Brown,5010,73,B1,80,B1,40,D,63,B2,95,A1
53,William Cruz,Male,06-08-2008,Christopher Mooney,Raven Rios,5010,59,C1,49,C2,64,B2,19,E2,34,D
54,Sean Johnson,Female,24-11-2009,Michael Henson,Dr. Angel Moran,5010,30,E1,38,D,26,E1,33,D,95,A1
55,Joshua Hamilton,Female,20-02-2008,Jeffrey Carrillo,Heidi Pope,5010,68,B2,38,D,18,E2,26,E1,91,A1
56,Joseph Dean,Female,01-02-2009,Jonathan Johnston DDS,Allison Ford,5010,50,C2,34,D,34,D,18,E2,63,B2
57,Anthony Gardner,Female,17-04-2008,Jon Ryan,Kelly Warner,5010,29,E1,83,A2,79,B1,17,E2,73,B1
58,Lauren Cole,Female,29-02-2008,Jeffrey Huber,Renee Meadows,5010,39,D,43,C2,26,E1,52,C1,62,B2
59,Justin Sanders Jr.,Female,13-12-2009,Joseph Christian,Ashley Moore,5010,48,C2,77,B1,63,B2,99,A1,25,E1
60,Cindy Joyce,Female,25-12-2009,Eric Potts,Erica Valenzuela,5010,35,D,26,E1,19,E2,31,D,77,B1
61,Jennifer Wolfe,Female,10-07-2009,James Schmidt,Vicki Greene,5010,76,B1,92,A1,48,C2,22,E1,66,B2
62,Angela Tran,Female,07-06-2008,William Lawson,Susan Ramos,5010,82,A2,59,C1,60,C1,75,B1,28,E1
63,Walter Murphy,Male,20-09-2008,Clinton Nunez,Sarah Robertson,5010,22,E1,63,B2,15,E2,93,A1,82,A2
64,Shawn Martin,Female,16-01-2009,Matthew Garza,Lori Davis,5010,73,B1,42,C2,25,E1,13,E2,84,A2
65,Melissa Conway,Male,17-01-2008,William Mitchell,Leah Sanders,5010,73,B1,57,C1,60,C1,16,E2,15,E2
66,Brian Howard,Female,11-12-2009,Aaron Weber,Lydia Stevens,5010,94,A1,59,C1,75,B1,45,C2,27,E1
67,Pamela Downs,Male,09-10-2009,Gabriel Burns,Elizabeth Gross,5010,54,C1,92,A1,25,E1,77,B1,98,A1
68,Charlene Marshall,Male,20-07-2008,Lawrence Clark,Leah Ellis,5010,13,E2,67,B2,68,B2,57,C1,80,B1
69,Julia Vargas,Male,08-08-2008,Joshua Johnson,Brittany Santos,5010,84,A2,45,C2,51,C1,27,E1,93,A1
70,Latoya Caldwell,Female,02-11-2009,Steven Osborne,Tammy Smith,5010,50,C2,57,C1,30,E1,13,E2,48,C2
71,Michael Berry,Male,17-07-2008,Benjamin Butler,Jane Hopkins,5010,35,D,41,C2,75,B1,25,E1,32,D
72,April Williams,Female,02-11-2009,Perry Allison,Sheila Walker,5010,44,C2,83,A2,24,E1,61,B2,85,A2
73,Dr. Erica Cain,Female,16-01-2008,Samuel Steele,Erika Mitchell,5010,84,A2,54,C1,94,A1,82,A2,54,C1
74,Tonya Snyder,Male,29-10-2009,Matthew Chen,Carly Becker,5010,77,B1,48,C2,12,E2,29,E1,74,B1
75,Jason Elliott,Male,14-06-2009,Michael Smith,Anna Pitts,5010,82,A2,60,C1,97,A1,81,A2,89,A2
76,Lindsey Sherman,Female,06-07-2009,Paul Mejia,Abigail Miller,5010,11,E2,20,E2,99,A1,61,B2,73,B1
77,Brian Sampson,Female,04-02-2009,Jerry Gonzalez,Nancy Morales,5010,48,C2,75,B1,59,C1,42,C2,21,E1
78,Jillian Russell,Male,04-05-2009,Steven Cameron,Barbara Perkins,5010,47,C2,99,A1,16,E2,58,C1,52,C1
79,Albert Adams,Female,06-01-2009,Michael Green,Jamie Hurst,5010,99,A1,55,C1,91,A1,41,C2,18,E2
80,Scott Cobb,Male,06-07-2008,Joseph Day,Alejandra Le,5010,82,A2,49,C2,17,E2,56,C1,20,E2
81,Michelle Archer,Female,11-06-2008,Charles Barnes,Shannon Brown,5010,42,C2,84,A2,64,B2,48,C2,23,E1
82,Sarah Rivas,Male,26-01-2008,Jermaine Ramos,Holly Christensen,5010,66,B2,82,A2,52,C1,45,C2,38,D
83,Samantha Parks,Male,19-10-2009,Michael Austin,Sarah Hale,5010,32,D,57,C1,49,C2,10,E2,64,B2
84,Isaiah Rodriguez,Male,10-06-2008,Christopher Barnes,Rebecca Graham,5010,13,E2,67,B2,16,E2,50,C2,87,A2
85,James Baker,Male,04-08-2008,Mr. James Ellis,Jessica Patterson,5010,53,C1,89,A2,59,C1,36,D,38,D
86,Dominic Campbell,Female,02-06-2009,Jeffrey Gonzalez,Tara Brooks,5010,38,D,73,B1,39,D,82,A2,50,C2
87,Nicholas Foster,Female,27-02-2009,Michael Crane,Jessica Fleming,5010,74,B1,49,C2,31,D,95,A1,29,E1
88,Jeffrey Roberts,Female,24-03-2009,Douglas Morris,Ashley Fuentes,5010,85,A2,52,C1,80,B1,94,A1,98,A1
89,Matthew Marquez,Male,18-01-2009,Henry Morris,Brenda Ramos,5010,43,C2,12,E2,57,C1,42,C2,63,B2
90,Susan Mccormick,Male,25-02-2008,Hector Thompson,Carla Weaver,5010,33,D,13,E2,97,A1,56,C1,50,C2
91,David Vaughn,Female,11-07-2009,Matthew Collins,Brianna Johnson,5010,94,A1,72,B1,30,E1,91,A1,47,C2
92,Brittany Watson,Male,24-10-2008,Jason Watson,Kathryn Palmer,5010,19,E2,35,D,34,D,30,E1,62,B2
93,Jacqueline Mccall,Male,10-02-2008,Chad Lewis,Theresa Chavez,5010,51,C1,19,E2,60,C1,47,C2,43,C2
94,Lee Robinson,Female,11-12-2009,Dennis Turner,Deborah Hood,5010,43,C2,86,A2,50,C2,19,E2,19,E2
95,Kenneth Cobb,Female,26-03-2008,Andrew Stanley,Linda Coleman,5010,89,A2,40,D,81,A2,82,A2,25,E1
96,Amber Perez,Male,03-11-2008,Wayne Rodriguez,Laura Krause,5010,10,E2,66,B2,98,A1,92,A1,80,B1
97,Michael Barrett,Female,22-05-2008,Travis Smith,Susan Wagner,5010,86,A2,45,C2,38,D,32,D,80,B1
98,Michelle White,Male,01-06-2009,Bryan Gordon,Mary Huff,5010,26,E1,26,E1,16,E2,43,C2,52,C1
99,Jesus Fisher,Female,12-05-2009,Kevin Price,Jessica Blake,5010,74,B1,49,C2,41,C2,47,C2,59,C1
100,Curtis Hernandez,Male,21-02-2008,Donald Nolan,Lisa Meyers,5010,94,A1,31,D,40,D,65,B2,35,D
101,Dean Brooks,Female,27-02-2008,Adam Chen,Amy Case,5010,19,E2,88,A2,66,B2,58,C1,99,A1
102,Rodney Lee,Female,28-07-2009,Kevin Nelson,Maria Scott,5010,35,D,29,E1,36,D,33,D,81,A2
103,Samantha Velazquez,Female,11-11-2008,Robert Garner,Christine Mann,5010,65,B2,23,E1,50,C2,98,A1,52,C1
104,Elizabeth Rosales,Male,18-05-2009,Mark Lewis,Erica Bryan,5010,93,A1,47,C2,49,C2,98,A1,76,B1
105,Adam Robinson,Female,20-03-2008,Joseph Davis,Karen Silva,5010,52,C1,32,D,83,A2,91,A1,89,A2
106,Linda Lozano,Male,25-01-2009,Matthew Pratt,Victoria Garza,5010,51,C1,64,B2,73,B1,32,D,24,E1
107,Maria Phillips,Female,05-11-2008,Thomas Wood,Anita Simmons,5010,44,C2,85,A2,18,E2,53,C1,22,E1
108,Susan Bradley,Male,07-02-2008,Adam Morales,Leslie Evans,5010,16,E2,10,E2,82,A2,76,B1,46,C2
109,Phillip York,Male,29-12-2008,Alex Morgan,Michele Li,5010,32,D,15,E2,55,C1,97,A1,32,D
110,Jennifer Steele,Female,07-03-2009,Andrew Campbell,Jennifer Anderson,5010,59,C1,52,C1,94,A1,59,C1,95,A1
111,Benjamin Shaffer,Male,20-05-2008,Aaron Key,Doris Duffy,5010,72,B1,14,E2,33,D,18,E2,34,D
112,Randall Bryant,Male,04-09-2008,James Sanders,Lisa Lewis,5010,20,E2,96,A1,72,B1,50,C2,74,B1
113,Sean Burke,Female,29-05-2008,Jose Jones,Diana Paul,5010,19,E2,86,A2,31,D,59,C1,93,A1
114,Megan Powell,Female,03-08-2008,John Hansen,Amanda Ritter,5010,56,C1,93,A1,87,A2,16,E2,38,D
115,Crystal Daniel,Male,20-08-2008,Jonathan Wall,Jessica Graham,5010,92,A1,14,E2,91,A1,60,C1,91,A1
116,Joanne Torres,Male,22-10-2009,Bradley Guerrero,Robyn Clay,5010,85,A2,97,A1,22,E1,72,B1,74,B1
117,Crystal Cervantes,Female,26-12-2008,Robert Smith,Maria Sanchez,5010,48,C2,48,C2,30,E1,97,A1,83,A2
118,Troy Ward,Female,25-04-2008,Steven Atkinson,Doris Lopez,5010,74,B1,40,D,46,C2,71,B1,97,A1
119,Zachary Harris,Female,08-02-2008,Kenneth Drake,Jessica Lloyd,5010,79,B1,20,E2,91,A1,98,A1,36,D
120,John Boyd,Female,29-02-2008,Jeffery Bradley,Lori West,5010,41,C2,17,E2,50,C2,73,B1,45,C2
121,William Brown,Male,30-05-2008,Michael Hodge,Bethany Cantu,5010,57,C1,28,E1,14,E2,65,B2,77,B1
122,Cheyenne Becker,Female,04-12-2009,Eric Jones,Whitney Mata,5010,50,C2,34,D,46,C2,88,A2,98,A1
123,Beth Bates,Male,23-07-2008,Charles Holmes,Rebecca Park,5010,19,E2,24,E1,22,E1,45,C2,44,C2
124,Thomas Thompson,Male,16-06-2009,Evan Davis,Suzanne Goodman,5010,96,A1,17,E2,53,C1,11,E2,61,B2
125,Daniel Meza,Male,14-09-2008,William Richard,Raven Harper,5010,55,C1,80,B1,69,B2,88,A2,52,C1
126,Tamara Howard,Female,21-11-2009,Matthew Campbell,Jacqueline Brown,5010,66,B2,75,B1,42,C2,54,C1,20,E2
127,Zachary White,Female,19-12-2009,Trevor Davis,Patricia Meyers,5010,66,B2,87,A2,52,C1,72,B1,96,A1
128,Justin Burch,Male,19-03-2008,Kenneth Weaver,Jessica Mitchell,5010,64,B2,84,A2,21,E1,98,A1,15,E2
129,Renee Sullivan,Male,08-02-2008,Robert Marquez,Elizabeth Bailey,5010,68,B2,74,B1,52,C1,28,E1,33,D
130,Joseph Patterson,Male,03-09-2008,Ryan Cordova,Heather Gray,5010,58,C1,86,A2,91,A1,28,E1,48,C2
131,Omar Chang,Male,27-10-2008,Sean Russell MD,Jessica Bass,5010,88,A2,97,A1,55,C1,44,C2,83,A2
132,Amber Chen,Female,19-05-2009,Caleb Ruiz,Sarah Edwards,5010,19,E2,83,A2,58,C1,23,E1,15,E2
133,Daniel Callahan,Male,06-08-2008,Gregory Buck,Alison Wilson,5010,88,A2,37,D,69,B2,17,E2,52,C1
134,Miss Rita Williams,Female,24-09-2009,Gabriel Shelton,Lindsay Swanson,5010,91,A1,18,E2,81,A2,61,B2,82,A2
135,Jeremy Owens,Male,06-01-2008,Jeffrey Leonard DVM,Megan Schaefer,5010,36,D,88,A2,95,A1,22,E1,77,B1
136,Caitlin Cook,Male,22-11-2009,Glenn Wright,Maria Schroeder,5010,43,C2,12,E2,51,C1,86,A2,45,C2
137,Francisco Williams,Female,25-03-2008,Matthew Johnson,Alexandra Parks,5010,45,C2,13,E2,74,B1,75,B1,52,C1
138,Ruth Houston,Male,29-08-2008,Mr. Matthew Martin,Shannon Martin,5010,75,B1,53,C1,65,B2,73,B1,68,B2
139,Sarah Gibbs,Male,14-02-2009,Martin Johnson,Kristin Gonzalez,5010,54,C1,59,C1,11,E2,90,A2,48,C2
140,Chris Jenkins,Female,03-05-2009,Nicholas Alvarado,Erin Cook,5010,51,C1,86,A2,52,C1,71,B1,66,B2
141,Dennis Carr,Male,14-11-2008,Mr. Shawn Burke DDS,Donna Morton,5010,41,C2,35,D,12,E2,20,E2,59,C1
142,Tina Jones,Female,14-11-2009,George Lewis,Katie Young,5010,93,A1,15,E2,19,E2,33,D,27,E1
143,Holly Joseph,Male,21-07-2008,Ryan Lewis,Rachel Shepherd,5010,93,A1,83,A2,73,B1,16,E2,74,B1
144,Sarah York,Female,15-04-2009,Aaron Mack,Crystal Cooper,5010,93,A1,83,A2,42,C2,13,E2,37,D
145,Danielle Myers,Female,05-11-2008,Alex Harris,Monica Bowers,5010,88,A2,96,A1,82,A2,15,E2,10,E2
146,Sarah Garcia,Female,10-11-2009,John Price,Julie Jordan DVM,5010,40,D,95,A1,85,A2,47,C2,75,B1
147,Mariah Harmon,Female,28-03-2008,Harry White,Kimberly Armstrong,5010,65,B2,90,A2,65,B2,88,A2,84,A2
148,Joel Fitzgerald,Male,12-07-2008,Shawn Mendez,Julia Frank,5010,20,E2,84,A2,83,A2,26,E1,75,B1
149,Thomas Salazar,Female,16-05-2008,Justin Walters,Christine Powell,5010,68,B2,95,A1,83,A2,98,A1,79,B1
150,Kara Yoder,Male,06-01-2008,Ethan Lopez,Dawn Jacobs,5010,41,C2,99,A1,75,B1,19,E2,88,A2
151,Jeffrey Gray,Female,13-08-2008,Jeffrey Cooke,Rebecca Taylor,5010,49,C2,64,B2,29,E1,78,B1,58,C1
152,Shelley Lewis,Female,01-09-2008,Anthony Wilson,Heather King,5010,51,C1,18,E2,64,B2,56,C1,61,B2
153,Shannon Rios,Female,06-12-2008,Gary Sawyer,Jessica Carney,5010,29,E1,15,E2,10,E2,36,D,50,C2
154,Eric Black,Female,22-03-2009,Aaron Morrow,Lynn Miller,5010,18,E2,55,C1,36,D,11,E2,16,E2
155,Alex Yang,Female,30-11-2009,Shawn Hall,Deanna Miller,5010,42,C2,12,E2,86,A2,69,B2,28,E1
156,William Bryant,Male,24-06-2009,William Garcia,Deborah Rosario,5010,35,D,63,B2,33,D,35,D,47,C2
157,Jamie Jones,Female,11-07-2008,Terry Carter,April Anderson,5010,60,C1,81,A2,77,B1,53,C1,81,A2
158,Kimberly Vargas,Male,20-08-2009,Frank Zuniga,Jessica Mccoy,5010,27,E1,47,C2,76,B1,40,D,52,C1
159,Kylie Hughes,Male,22-08-2008,Brad Gibson,Kimberly Norman,5010,27,E1,52,C1,52,C1,99,A1,62,B2
160,Rose Phillips,Female,15-11-2008,Julian Lopez,Elizabeth Wells,5010,69,B2,93,A1,17,E2,12,E2,93,A1
161,Olivia Holland,Female,16-12-2008,Timothy Cooper,Alicia Nichols,5010,61,B2,74,B1,45,C2,85,A2,44,C2
162,Sheri Perez,Female,11-11-2009,Nathan Ellis,Martha Davila,5010,74,B1,49,C2,36,D,30,E1,61,B2
163,Karen Kelly,Male,06-08-2008,Matthew Hansen,Leslie Erickson,5010,55,C1,44,C2,56,C1,61,B2,78,B1
164,Curtis Snyder,Male,08-12-2009,Glenn Gibson,Sandra Jackson,5010,83,A2,58,C1,68,B2,17,E2,59,C1
165,Jordan Russell,Male,02-02-2008,Brian Duran,Shirley Ramos,5010,71,B1,17,E2,25,E1,96,A1,28,E1
166,Christopher Cook,Male,01-10-2008,Jerry Taylor,Kristine Sanchez,5010,62,B2,43,C2,16,E2,63,B2,98,A1
167,James Hoffman,Male,05-07-2009,Tom Anderson,Catherine Williams,5010,96,A1,17,E2,67,B2,28,E1,80,B1
168,Brenda Case,Male,30-11-2008,Christopher Kemp,Mary Gonzalez,5010,65,B2,62,B2,12,E2,26,E1,45,C2
169,Paul Hanna,Male,03-06-2009,John Hernandez,Tiffany Hayes,5010,28,E1,45,C2,99,A1,43,C2,99,A1
170,Anna Buckley,Male,13-02-2008,Michael Torres,Diana Burgess,5010,14,E2,39,D,55,C1,80,B1,69,B2
171,Charles Zavala,Female,27-12-2009,Craig Anderson,Jamie Harris,5010,78,B1,34,D,49,C2,88,A2,93,A1
172,Keith Hawkins,Male,23-12-2008,Michael Adams,Lisa Garrison,5010,71,B1,54,C1,73,B1,81,A2,93,A1
173,Steven Villanueva,Male,22-08-2008,Christopher Johnson,Melissa Baker,5010,88,A2,20,E2,68,B2,33,D,99,A1
174,Howard Bradley,Male,09-03-2009,Michael Donovan,Morgan Steele,5010,77,B1,38,D,34,D,90,A2,18,E2
175,Matthew Dixon,Female,23-04-2008,Jaime Lowery,Christina Smith,5010,59,C1,21,E1,66,B2,34,D,79,B1
176,Eric Henry,Male,31-07-2008,David Williams,Laurie Gallagher,5010,22,E1,13,E2,82,A2,14,E2,37,D
177,Jennifer Carter,Male,05-10-2009,Christopher Giles,Christie Woods,5010,77,B1,66,B2,55,C1,20,E2,38,D
178,Albert Jordan,Male,08-10-2008,Nicholas Hill,Grace Vaughn,5010,99,A1,91,A1,98,A1,77,B1,96,A1
179,Andrew Clark,Male,03-09-2009,Larry Bullock,Michele Andrews,5010,31,D,96,A1,76,B1,82,A2,42,C2
180,Samantha Garrett,Female,08-09-2008,Michael Bowers,Lindsay Nguyen,5010,64,B2,42,C2,32,D,85,A2,41,C2
181,Rebecca Middleton,Female,19-12-2008,Benjamin Nunez,Rebecca Robinson,5010,13,E2,44,C2,39,D,88,A2,89,A2
182,Joseph Sherman,Male,03-05-2008,Alejandro Mitchell,Michele Murray,5010,20,E2,84,A2,49,C2,94,A1,79,B1
183,Whitney Harrington,Female,16-07-2009,David Hoover,Madison Barber,5010,68,B2,49,C2,39,D,67,B2,96,A1
184,Jason Garcia MD,Female,11-08-2009,James Davis,Ashley Olson MD,5010,68,B2,61,B2,81,A2,52,C1,31,D
185,Melissa Smith,Female,19-04-2009,Michael Jones,Kathryn Fernandez,5010,46,C2,90,A2,38,D,93,A1,13,E2
186,Natalie Weaver,Male,23-09-2008,Joshua Newman,Savannah Brown,5010,84,A2,44,C2,91,A1,33,D,87,A2
187,Eric Burke,Female,16-04-2008,Michael Turner,Hannah Baker,5010,23,E1,81,A2,11,E2,61,B2,31,D
188,Emily Chang,Male,18-10-2009,Adam Davis,Sherry Johnson,5010,41,C2,50,C2,69,B2,32,D,22,E1
189,Thomas Gray,Male,18-08-2008,Robert Ramirez,Lisa Nguyen,5010,22,E1,84,A2,52,C1,71,B1,90,A2
190,Michael Diaz,Male,12-07-2009,Jeremy Simpson,Ann Kennedy,5010,84,A2,30,E1,94,A1,84,A2,74,B1
191,Nicole Haney,Female,20-02-2008,Kenneth Hill,Desiree Williams,5010,56,C1,79,B1,52,C1,60,C1,48,C2
192,Tammy Johns,Male,15-02-2008,Steven Suarez,Lisa Valdez,5010,84,A2,51,C1,20,E2,47,C2,29,E1
193,Emily Davis,Female,15-11-2009,Christopher Powell,Kelly Ferguson,5010,47,C2,96,A1,40,D,70,B2,90,A2
194,Christine Lawrence DDS,Female,13-06-2009,William Obrien,Nancy Ray,5010,43,C2,55,C1,78,B1,31,D,77,B1
195,Daniel Leonard,Female,11-12-2009,Terry May,Jessica Lee,5010,70,B2,90,A2,54,C1,34,D,76,B1
196,Monica Perry DVM,Male,17-05-2008,Travis Gonzalez,Danielle Johnson,5010,14,E2,52,C1,40,D,80,B1,61,B2
197,Geoffrey Brown,Male,22-11-2009,Eric Brooks,Jessica Ellis,5010,41,C2,97,A1,29,E1,44,C2,62,B2
198,Lindsay Henry,Male,18-08-2008,Christopher Mclean,Traci Alvarez,5010,40,D,13,E2,32,D,63,B2,23,E1
199,Steven May,Male,01-05-2009,Chad Morrison,Kimberly French,5010,96,A1,41,C2,98,A1,19,E2,75,B1
200,Mitchell Wright,Male,29-12-2009,Justin Lyons,Alexis Martin,5010,63,B2,49,C2,66,B2,62,B2,55,C1
201,Ronald Johnson,Male,10-09-2008,Brian Smith,Theresa James,5010,96,A1,83,A2,75,B1,13,E2,20,E2
202,Denise Day,Male,16-04-2008,Gregory Johnson,Robin Thomas,5010,23,E1,85,A2,52,C1,88,A2,29,E1
203,Brian Richardson,Male,08-01-2008,Justin Davis,Sarah Kelly,5010,59,C1,65,B2,52,C1,29,E1,19,E2
204,Jose Bean,Male,16-08-2009,Donald Johnson,Shannon Lyons,5010,75,B1,20,E2,24,E1,46,C2,57,C1
205,April Cook,Female,30-08-2008,George Martinez,Alicia Forbes,5010,93,A1,31,D,48,C2,33,D,40,D
206,Kelly Carr,Female,03-04-2008,Robert Bautista,Mrs. Gabriella Brown,5010,64,B2,78,B1,29,E1,26,E1,51,C1
207,Timothy Vazquez,Female,28-03-2008,Nicholas Mason,Tara Williams,5010,89,A2,39,D,51,C1,92,A1,57,C1
208,Mason Hartman,Female,14-09-2008,Robert Cabrera,Shelly Gibson,5010,45,C2,44,C2,41,C2,20,E2,79,B1
209,Rita Thomas DDS,Male,22-08-2008,Jeremy Taylor,Natalie Martinez,5010,16,E2,13,E2,22,E1,95,A1,95,A1
210,Tiffany Knight,Female,01-05-2008,Clinton Roberts,Courtney Forbes,5010,19,E2,92,A1,97,A1,12,E2,78,B1
211,Dennis Dominguez,Male,11-11-2009,Corey Manning,Tabitha Wilkerson,5010,65,B2,94,A1,96,A1,89,A2,80,B1
212,Jose Garner,Male,29-05-2009,Edward Russell,Ashley Garcia,5010,42,C2,13,E2,58,C1,52,C1,84,A2
213,Ashley Lowe,Male,25-06-2009,Nicholas Sherman,Christina Palmer,5010,13,E2,17,E2,58,C1,30,E1,55,C1
